One Hundred Years of Solitude by Gabriel Gárcia Márquez,Helvetica,1
One Hundred Years of Solitude by Gabriel Gárcia Márquez,Bob Dylan,1
One Hundred Years of Solitude by Gabriel Gárcia Márquez,Falafel,1
One Hundred Years of Solitude by Gabriel Gárcia Márquez,go for a jog,1
One Hundred Years of Solitude by Gabriel Gárcia Márquez,Apple IIe,1
Helvetica,Bob Dylan,2
Helvetica,Falafel,1
Helvetica,go for a jog,1
Helvetica,Apple IIe,2
Helvetica,"Oh, the Places You'll Go by Dr. Seuss",1
Helvetica,Curry,1
Helvetica,read,1
Bob Dylan,Falafel,1
Bob Dylan,go for a jog,1
Bob Dylan,Apple IIe,2
Bob Dylan,"Oh, the Places You'll Go by Dr. Seuss",1
Bob Dylan,Curry,1
Bob Dylan,read,1
Falafel,go for a jog,1
Falafel,Apple IIe,1
go for a jog,Apple IIe,1
Apple IIe,"Oh, the Places You'll Go by Dr. Seuss",1
Apple IIe,Curry,1
Apple IIe,read,1
"Oh, the Places You'll Go by Dr. Seuss",Curry,1
"Oh, the Places You'll Go by Dr. Seuss",read,1
Curry,read,1
